Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.
1,0.0478525562498362,0.079,0.062,0.061,0.039,0.029,2024-11-18 06:42:32.212390,5
2,0.06478295900024023,0.032,0.104,0.036,0.035,0.085,2024-11-18 06:42:32.212390,5
3,0.09935161975045048,0.108,0.06,0.055,0.143,0.139,2024-11-18 06:42:32.212390,5
4,0.1007289627495993,0.064,0.119,0.051,0.131,0.101,2024-11-18 06:42:32.212390,5
5,0.07012664924968703,0.059,0.12,0.054,0.055,0.051,2024-11-18 06:42:32.212390,5
6,0.07619335050048903,0.103,0.098,0.085,0.044,0.078,2024-11-18 06:42:32.212390,5
7,0.05092301250033415,0.098,0.09,0.038,0.037,0.039,2024-11-18 06:42:32.212390,5
8,0.08704419775040151,0.114,0.087,0.098,0.075,0.088,2024-11-18 06:42:32.212390,5
9,5.993142053499923,6.162,6.045,5.997,5.953,5.977,2024-11-18 06:42:32.212390,5
10,0.3010202282503087,0.288,0.282,0.26,0.343,0.318,2024-11-18 06:42:32.212390,5
11,136.51565463125007,137.319,135.899,136.806,136.849,136.509,2024-11-18 06:42:32.212390,5
12,0.07574774725026145,0.096,0.096,0.051,0.09,0.065,2024-11-18 06:42:32.212390,5
