Unnamed: 0,Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.,malloc 0,malloc 1,malloc 2,malloc 3,malloc 4
0.0,1,0.0,0.001,0.0,0.0,0.0,0.0,2024-11-14 14:09:29.087312,1,,,,,
1.0,2,0.002,0.002,0.003,0.001,0.002,0.002,2024-11-14 14:09:29.087312,1,,,,,
2.0,3,0.002,0.002,0.002,0.001,0.001,0.002,2024-11-14 14:09:29.087312,1,,,,,
3.0,4,0.001,0.001,0.001,0.002,0.001,0.001,2024-11-14 14:09:29.087312,1,,,,,
4.0,5,0.001,0.002,0.001,0.001,0.001,0.002,2024-11-14 14:09:29.087312,1,,,,,
5.0,6,0.005,0.007,0.005,0.005,0.005,0.006,2024-11-14 14:09:29.087312,1,,,,,
6.0,7,0.003,0.006,0.003,0.002,0.004,0.002,2024-11-14 14:09:29.087312,1,,,,,
7.0,8,0.003,0.005,0.004,0.004,0.003,0.003,2024-11-14 14:09:29.087312,1,,,,,
8.0,9,0.002,0.003,0.002,0.002,0.002,0.002,2024-11-14 14:09:29.087312,1,,,,,
9.0,10,0.003,0.004,0.005,0.003,0.003,0.002,2024-11-14 14:09:29.087312,1,,,,,
10.0,11,0.002,0.002,0.002,0.002,0.002,0.001,2024-11-14 14:09:29.087312,1,,,,,
11.0,12,0.002,0.003,0.002,0.002,0.002,0.001,2024-11-14 14:09:29.087312,1,,,,,
,5,0.0017221800003426,0.003,0.002,,,,2024-11-18 05:13:04.829450,2,,,,,
,5,0.0020273730001463,0.003,0.002,,,,2024-11-18 05:27:45.625386,3,,,,,
,1,0.0003196094996837,0.004,0.0,0.0,0.0,0.0,2024-11-18 05:31:39.031976,4,,,,,
,2,0.0018768624995573,0.003,0.002,0.002,0.002,0.002,2024-11-18 05:31:39.031976,4,,,,,
,3,0.002900452500171,0.003,0.003,0.003,0.003,0.003,2024-11-18 05:31:39.031976,4,,,,,
,4,0.0022456017500189,0.002,0.003,0.002,0.002,0.003,2024-11-18 05:31:39.031976,4,,,,,
,5,0.0017309039999418,0.002,0.002,0.001,0.001,0.002,2024-11-18 05:31:39.031976,4,,,,,
,6,0.0077914012501878,0.008,0.008,0.009,0.006,0.008,2024-11-18 05:31:39.031976,4,,,,,
,7,0.0037680352500046,0.007,0.005,0.004,0.003,0.004,2024-11-18 05:31:39.031976,4,,,,,
,8,0.0037458179997429,0.003,0.004,0.005,0.003,0.003,2024-11-18 05:31:39.031976,4,,,,,
,9,0.0022217344996988,0.002,0.002,0.002,0.002,0.002,2024-11-18 05:31:39.031976,4,,,,,
,10,0.0038701517501067,0.003,0.004,0.004,0.004,0.003,2024-11-18 05:31:39.031976,4,,,,,
,11,0.0019570732501961,0.002,0.002,0.002,0.002,0.002,2024-11-18 05:31:39.031976,4,,,,,
,12,0.0021770685000319,0.002,0.002,0.003,0.002,0.002,2024-11-18 05:31:39.031976,4,,,,,
,1,0.0003459687500253,0.001,0.0,0.0,0.0,0.0,2024-11-18 06:42:32.212390,5,,,,,
,2,0.00275657749944,0.003,0.002,0.002,0.003,0.004,2024-11-18 06:42:32.212390,5,,,,,
,3,0.0025354382501063,0.003,0.003,0.002,0.002,0.003,2024-11-18 06:42:32.212390,5,,,,,
,4,0.0020156532505097,0.002,0.001,0.002,0.003,0.001,2024-11-18 06:42:32.212390,5,,,,,
,5,0.0012928122491757,0.001,0.001,0.001,0.001,0.001,2024-11-18 06:42:32.212390,5,,,,,
,6,0.0085045964997334,0.007,0.009,0.009,0.008,0.007,2024-11-18 06:42:32.212390,5,,,,,
,7,0.0041469204998065,0.006,0.004,0.004,0.004,0.004,2024-11-18 06:42:32.212390,5,,,,,
,8,0.0042095329999938,0.005,0.005,0.006,0.003,0.003,2024-11-18 06:42:32.212390,5,,,,,
,9,0.0022641697501057,0.003,0.002,0.002,0.002,0.002,2024-11-18 06:42:32.212390,5,,,,,
,10,0.0042677647493292,0.003,0.005,0.003,0.004,0.004,2024-11-18 06:42:32.212390,5,,,,,
,11,0.001979009500701,0.003,0.002,0.002,0.002,0.003,2024-11-18 06:42:32.212390,5,,,,,
,12,0.0167567017501824,0.003,0.002,0.034,0.029,0.002,2024-11-18 06:42:32.212390,5,,,,,
,1,0.003926160000020218,0.006075231999943753,0.004053632000022844,0.0038882410000269374,0.003957311000021946,0.003805456000009144,2024-11-23 08:38:32.340884,6,2204143.0,2204143.0,2204143.0,2204143.0,2204143.0
,2,0.01940836225000453,0.024243019999971693,0.020482638999965275,0.021165049000046565,0.018063592999965294,0.017922168000040983,2024-11-23 08:38:32.340884,6,2969967.0,2969967.0,2969967.0,2969967.0,2969967.0
