Unnamed: 0,Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.
0.0,1,0.031,0.079,0.034,0.029,0.029,0.029,2024-11-14 14:09:29.087312,1
1.0,2,0.051,0.034,0.073,0.032,0.068,0.032,2024-11-14 14:09:29.087312,1
2.0,3,0.098,0.082,0.111,0.107,0.108,0.068,2024-11-14 14:09:29.087312,1
3.0,4,0.076,0.063,0.053,0.052,0.1,0.098,2024-11-14 14:09:29.087312,1
4.0,5,0.07,0.098,0.088,0.062,0.063,0.067,2024-11-14 14:09:29.087312,1
5.0,6,0.053,0.054,0.071,0.035,0.034,0.072,2024-11-14 14:09:29.087312,1
6.0,7,0.062,0.035,0.04,0.07,0.07,0.068,2024-11-14 14:09:29.087312,1
7.0,8,0.069,0.089,0.083,0.049,0.064,0.08,2024-11-14 14:09:29.087312,1
8.0,9,6.295,6.045,6.268,6.301,6.273,6.337,2024-11-14 14:09:29.087312,1
9.0,10,0.253,0.247,0.248,0.266,0.23,0.269,2024-11-14 14:09:29.087312,1
10.0,11,141.93,144.131,142.085,143.583,143.0,139.051,2024-11-14 14:09:29.087312,1
11.0,12,0.07,0.044,0.088,0.071,0.069,0.053,2024-11-14 14:09:29.087312,1
,5,0.0872358219999114,0.124,0.087,,,,2024-11-18 05:13:04.829450,2
,5,0.0522917200000847,0.129,0.052,,,,2024-11-18 05:27:45.625386,3
,1,0.0542659277501798,0.074,0.039,0.029,0.061,0.088,2024-11-18 05:31:39.031976,4
,2,0.0821647109999048,0.071,0.067,0.166,0.058,0.038,2024-11-18 05:31:39.031976,4
,3,0.1400207699998645,0.145,0.144,0.145,0.116,0.154,2024-11-18 05:31:39.031976,4
,4,0.0860817100000304,0.134,0.072,0.061,0.117,0.094,2024-11-18 05:31:39.031976,4
,5,0.1196873042499646,0.056,0.114,0.124,0.114,0.127,2024-11-18 05:31:39.031976,4
,6,0.0865057757499698,0.08,0.052,0.101,0.093,0.099,2024-11-18 05:31:39.031976,4
,7,0.0559708632498541,0.097,0.061,0.036,0.062,0.065,2024-11-18 05:31:39.031976,4
,8,0.0969371109998746,0.089,0.084,0.092,0.113,0.099,2024-11-18 05:31:39.031976,4
,9,6.072651754000049,6.102,6.225,5.989,6.092,5.984,2024-11-18 05:31:39.031976,4
,10,0.3055607967498872,0.313,0.313,0.296,0.294,0.319,2024-11-18 05:31:39.031976,4
,11,136.57652576274995,138.197,136.978,136.814,135.897,136.617,2024-11-18 05:31:39.031976,4
,12,0.0866177880000123,0.096,0.078,0.098,0.075,0.095,2024-11-18 05:31:39.031976,4
,1,0.0478525562498362,0.079,0.062,0.061,0.039,0.029,2024-11-18 06:42:32.212390,5
,2,0.06478295900024023,0.032,0.104,0.036,0.035,0.085,2024-11-18 06:42:32.212390,5
,3,0.09935161975045048,0.108,0.06,0.055,0.143,0.139,2024-11-18 06:42:32.212390,5
,4,0.1007289627495993,0.064,0.119,0.051,0.131,0.101,2024-11-18 06:42:32.212390,5
,5,0.07012664924968703,0.059,0.12,0.054,0.055,0.051,2024-11-18 06:42:32.212390,5
,6,0.07619335050048903,0.103,0.098,0.085,0.044,0.078,2024-11-18 06:42:32.212390,5
,7,0.05092301250033415,0.098,0.09,0.038,0.037,0.039,2024-11-18 06:42:32.212390,5
,8,0.08704419775040151,0.114,0.087,0.098,0.075,0.088,2024-11-18 06:42:32.212390,5
,9,5.993142053499923,6.162,6.045,5.997,5.953,5.977,2024-11-18 06:42:32.212390,5
,10,0.3010202282503087,0.288,0.282,0.26,0.343,0.318,2024-11-18 06:42:32.212390,5
,11,136.51565463125007,137.319,135.899,136.806,136.849,136.509,2024-11-18 06:42:32.212390,5
,12,0.07574774725026145,0.096,0.096,0.051,0.09,0.065,2024-11-18 06:42:32.212390,5
